log_text,location,category,severity,action_taken,date,"log_text,location,category,severity,action_taken,date"
,,,,,,"Strobe light for the fire alarm is not flashing,Block C Level 5,Safety,Medium,Replaced the defective xenon bulb and tested the alarm circuit,2024-08-05"
,,,,,,"Keycard lost by a third-party contractor,Facility Wide,Security,High,Immediately revoked access permissions in the security database,2024-08-06"
,,,,,,"Door closer on the fire door is too weak,Staircase A,Safety,Low,Adjusted the hydraulic tension screw for a faster and firmer close,2024-08-07"
,,,,,,"Motion sensor light in the back alley is always on,Rear Exit,Security,Low,Adjusted the sensitivity dial and lowered the 'ON' timer duration,2024-08-07"
,,,,,,"Report of a stray dog roaming the basement,Basement P1,Safety,Low,Contacted local animal control and monitored the exits via CCTV,2024-08-08"
,,,,,,"Burnt smell coming from the security desk UPS,Guardhouse,Safety,High,Switched to bypass mode and replaced the overheating battery bank,2024-08-09"
,,,,,,"Visitor entered without a valid day-pass,Reception,Security,Medium,Registered visitor manually and issued a temporary visitor sticker,2024-08-10"
,,,,,,"Floor tiles near the pool are extremely slippery,Poolside,Safety,Medium,Applied anti-slip chemical treatment to the affected tile surface,2024-08-10"
,,,,,,"Security guard found sleeping during night shift,Main Entrance,Security,High,Reported to the security agency and requested a replacement guard,2024-08-11"
,,,,,,"Siren for the gas leak detection system is muffled,Basement P3,Safety,Medium,Cleaned the siren horn and cleared the insect nest inside,2024-08-12"
,,,,,,"AHU-05 making loud screeching noise,North Wing,Mechanical,High,Replaced worn fan belt and lubricated motor bearings,2024-08-13"
,,,,,,"Lift 3 stuck between Level 4 and 5,Block A,Mechanical,Critical,Manually released brake and rescued passengers; replaced door cam,2024-08-13"
,,,,,,"High humidity levels in the Server Room,Data Center,HVAC,High,Cleaned condenser coils and recharged refrigerant in CRAC unit,2024-08-14"
,,,,,,"Circuit breaker trips when gym AC starts,Gymnasium,Electrical,Medium,Upgraded breaker from 32A to 40A to handle inrush current,2024-08-15"
,,,,,,"Chiller water temperature too high,Roof Deck,Mechanical,High,Descaled heat exchanger tubes and cleared cooling tower basin,2024-08-15"
,,,,,,"Basement exhaust fan not spinning,Basement P2,Electrical,Medium,Replaced burnt-out motor capacitor and reset the thermal relay,2024-08-16"
,,,,,,"Generator failed to start during monthly test,Genset Room,Mechanical,Critical,Purged air from fuel line and replaced clogged fuel filter,2024-08-17"
,,,,,,"Corridor lights flickering on Level 10,Block B,Electrical,Low,Tightened neutral wire in the distribution board (DB) box,2024-08-18"
,,,,,,"Pantry water heater leaking,Office Pantry,Plumbing,Medium,Replaced the pressure relief valve and tightened inlet pipe,2024-08-19"
,,,,,,"Smell of burning plastic near DB room,Block C Lobby,Electrical,Critical,Identified melted insulation on busbar; replaced affected cables,2024-08-19"
,,,,,,"API requests returning 401 Unauthorized errors,External Integration,Software,High,Rotated expired API keys and updated the environment secrets,2025-01-10"
,,,,,,"Database deadlock detected on user_sessions table,Backend Server,Software,Medium,Optimized SQL query and added a missing non-clustered index,2025-01-11"
,,,,,,"Cloud storage bucket nearly at 95% capacity,AWS S3,Cloud,Medium,Implemented lifecycle policy to archive files older than 90 days,2025-01-12"
,,,,,,"Webhooks failing for Stripe payments,Payment Gateway,Software,High,Validated SSL certificate and updated the endpoint URL in dashboard,2025-01-13"
,,,,,,"Slow page load for the analytics dashboard,Front End,Software,Medium,Enabled Gzip compression and implemented lazy loading for charts,2025-01-14"
,,,,,,"Docker container keeps restarting - Out of Memory,Production Env,Cloud,High,Increased memory limit in docker-compose.yml to 2GB,2025-01-15"
,,,,,,"CSS styles not loading on Safari browser,User Interface,Software,Low,Added vendor prefixes and cleared the Cloudflare CDN cache,2025-01-16"
,,,,,,"Automated backup failed for the MySQL instance,Cloud Backup,Software,High,Re-authenticated service account and increased disk I/O limit,2025-01-17"
,,,,,,"User reporting missing data in the export CSV,Backend,Software,Medium,Fixed character encoding bug (UTF-8) in the export script,2025-01-18"
,,,,,,"Internal Wiki shows 404 Page Not Found,Company Portal,Software,Low,Restored missing .md files from GitHub main branch,2025-01-19"
,,,,,,"Tennis court fence has a large hole,Sports Court,Maintenance,Low,Patched fence with galvanized wire mesh and zip ties,2026-02-01"
,,,,,,"Residents complaining about cigarette smell in lifts,Elevator 1,Community,Medium,Cleaned air vents and installed ionizer in lift car,2026-02-02"
,,,,,,"Pool deck chairs are broken and unsafe,Poolside,Amenities,Low,Removed damaged chairs and ordered 5 new weather-proof units,2026-02-03"
,,,,,,"Gym Wi-Fi password sticker is missing,Gymnasium,Admin,Low,Printed and laminated new QR code signs for the wall,2026-02-04"
,,,,,,"Stray cat found feeding in the corridor,Block A Level 2,Sanitation,Low,Advised residents via notice not to leave food in common areas,2026-02-05"
,,,,,,"Barbecue pit has a gas leak smell,BBQ Area,Safety,High,Replaced the gas hose and the regulator valve,2026-02-06"
,,,,,,"Squash court floor is warped and slippery,Sports Center,Structural,Medium,Sanded wood surface and applied anti-slip polyurethane coating,2026-02-07"
,,,,,,"Community hall lights won't turn off,Clubhouse,Electrical,Low,Replaced the faulty manual toggle switch with a new unit,2026-02-08"
,,,,,,"Trash room door lock is broken,Block C Ground,Security,Medium,Installed a new heavy-duty deadbolt and gave keys to cleaners,2026-02-09"
,,,,,,"Loud music complaint at 2 AM,Block B Unit 12-04,Community,Medium,Security guard issued a verbal warning and recorded the incident,2026-02-10"
,,,,,,"Solar panel inverter shows Error 44,Roof Deck,Energy,Medium,Restarted AC/DC isolator and updated inverter firmware,2026-03-01"
,,,,,,"Water seepage on ceiling after heavy rain,Block B Level 12,Structural,High,Applied waterproof membrane coating and cleared roof scuppers,2026-03-02"
,,,,,,"Recycling bin contaminated with food waste,Refuse Area,Sanitation,Low,Sorted waste manually and posted educational signage for residents,2026-03-03"
,,,,,,"High electricity consumption in common area,Main Lobby,Energy,Medium,Identified faulty timer on lobby lights and switched to LED sensors,2026-03-04"
,,,,,,"Strong sewage smell near manhole,Block C Ground,Sanitation,Medium,Contracted desludging service to clear the grease trap and manhole,2026-03-05"
,,,,,,"Irrigation system spraying water on walkway,Landscape,Water,Low,Adjusted nozzle direction and reprogrammed the sprinkler schedule,2026-03-06"
,,,,,,"Illegal dumping of old furniture,Basement P2,Sanitation,Medium,Cleared furniture to bulky waste bin and reviewed CCTV for fines,2026-03-07"
,,,,,,"Rainwater harvesting tank is overflowing,Block D,Water,Medium,Cleaned the overflow pipe and checked the float valve mechanism,2026-03-08"
,,,,,,"Fallen tree blocking the side entrance,Perimeter Road,Safety,High,Used chainsaw to clear branches and hauled debris for disposal,2026-03-09"
,,,,,,"Termite tracks found on skirting boards,Block A Unit 5-02,Sanitation,Medium,Conducted localized chemical injection and set up monitoring stations,2026-03-10"
,,,,,,"Total power outage in North Wing,North Wing,Electrical,Critical,Identified blown 100A main fuse and replaced it in the Sub-Station,2026-04-12"
,,,,,,"Elevator pit flooded after pipe burst,Block A Basement,Mechanical,Critical,Activated submersible sump pumps and repaired the 4-inch main pipe,2024-04-12"
,,,,,,"Staff member fainted in the pantry,Level 3 Pantry,Medical,Critical,Administered first aid and called ambulance for hospital transfer,2024-04-13"
,,,,,,"Gas leak detected in the kitchen area,Clubhouse Cafe,Safety,Critical,Evacuated cafe and replaced the rusted gas regulator and hose,2024-04-14"
,,,,,,"Server Room temperature hit 35 degrees,Data Center,HVAC,Critical,Switched to backup portable AC and fixed the failed chiller pump,2024-04-15"
,,,,,,"Small fire in the rubbish chute,Block B Level 8,Safety,Critical,Extinguished fire using ABC powder unit and cleared the chute blockage,2024-04-16"
,,,,,,"Security Guard found unresponsive,Main Guardhouse,Medical,Critical,Performed CPR and alerted emergency services immediately,2024-04-17"
,,,,,,"Main gate crashed into by a vehicle,Main Entrance,Security,High,Secured the area with cones and deployed manual boom gate,2024-04-18"
,,,,,,"Internal network hit by ransomware,Office IT,Cybersecurity,Critical,Isolated affected servers and initiated data recovery from cold backup,2024-04-19"
,,,,,,"Basement P3 ceiling collapsed partially,Basement P3,Structural,Critical,Cordoned off the area and shored up the slab with temporary props,2024-04-20"
,,,,,,"Tailgating incident reported at turnstile 3,Main Entrance,Security,Medium,Reviewed CCTV footage and issued a formal warning to the offending staff,2024-07-30"
,,,,,,"Fire alarm triggered in Block B - False Alarm,Block B,Safety,High,Inspected smoke detector; found dust buildup and cleaned the sensor,2024-07-30"
,,,,,,"Security badge reader not responding to any cards,East Wing,Security,High,Rebooted the local door controller and checked the 12V power supply,2024-07-31"
,,,,,,"Panic button in the basement parking is stuck,Basement P3,Safety,Medium,Replaced the physical spring mechanism and tested the alert signal,2024-07-31"
,,,,,,"Unauthorised person found in the server room,Server Room,Security,Critical,Escorted individual out and updated the biometric access list,2024-08-01"
,,,,,,"Emergency exit door blocked by delivery boxes,Loading Bay,Safety,High,Cleared the walkway and briefed the logistics team on safety protocols,2024-08-02"
,,,,,,"CCTV Camera 14 shows a black screen,North Perimeter,Security,Low,Replaced the faulty BNC connector and tightened the coaxial cable,2024-08-02"
,,,,,,"First aid kit in the gym is missing supplies,Gymnasium,Safety,Low,Restocked bandages; antiseptic; and gauze; updated the log sheet,2024-08-03"
,,,,,,"Suspicious package left unattended in the lobby,Main Lobby,Security,High,Cordoned off area and followed the 'Check-Confirm-Clear' protocol,2024-08-04"
,,,,,,"Broken glass found on the walkway near the cafe,Ground Floor,Safety,Medium,Swept the area and installed temporary 'Caution: Wet Floor' sign,2024-08-04"
,,,,,,"Strobe light for the fire alarm is not flashing,Block C Level 5,Safety,Medium,Replaced the defective xenon bulb and tested the alarm circuit,2024-08-05"
,,,,,,"Keycard lost by a third-party contractor,Facility Wide,Security,High,Immediately revoked access permissions in the security database,2024-08-06"
,,,,,,"Door closer on the fire door is too weak,Staircase A,Safety,Low,Adjusted the hydraulic tension screw for a faster and firmer close,2024-08-07"
,,,,,,"Motion sensor light in the back alley is always on,Rear Exit,Security,Low,Adjusted the sensitivity dial and lowered the 'ON' timer duration,2024-08-07"
,,,,,,"Report of a stray dog roaming the basement,Basement P1,Safety,Low,Contacted local animal control and monitored the exits via CCTV,2024-08-08"
,,,,,,"Burnt smell coming from the security desk UPS,Guardhouse,Safety,High,Switched to bypass mode and replaced the overheating battery bank,2024-08-09"
,,,,,,"Visitor entered without a valid day-pass,Reception,Security,Medium,Registered visitor manually and issued a temporary visitor sticker,2024-08-10"
,,,,,,"Floor tiles near the pool are extremely slippery,Poolside,Safety,Medium,Applied anti-slip chemical treatment to the affected tile surface,2024-08-10"
,,,,,,"Security guard found sleeping during night shift,Main Entrance,Security,High,Reported to the security agency and requested a replacement guard,2024-08-11"
,,,,,,"Siren for the gas leak detection system is muffled,Basement P3,Safety,Medium,Cleaned the siren horn and cleared the insect nest inside,2024-08-12"
,,,,,,"Broken window in the vacant unit 5-04,Block A,Security,Medium,Boarded up the window and notified the unit owner for replacement,2024-08-13"
,,,,,,"Intercom unit at the gate has no audio,Main Gate,Security,Medium,Rewired the speaker terminals and replaced the waterproof membrane,2024-08-14"
,,,,,,"Graffiti found on the perimeter wall,South Fence,Security,Low,Sanded the surface and applied anti-graffiti protective coating,2024-08-15"
,,,,,,"Handrail on the handicap ramp is loose,Lobby Entrance,Safety,High,Re-anchored the base plates into the concrete with epoxy bolts,2024-08-15"
,,,,,,"Evidence of forced entry on the side gate,West Perimeter,Security,Critical,Repaired the lock hasp and added a motion-activated spotlight,2024-08-16"
,,,,,,"Fire hose reel cabinet door is jammed,Block B Level 2,Safety,Medium,Lubricated the hinges and replaced the broken glass break-point,2024-08-17"
,,,,,,"Smoking reported in the non-smoking stairwell,Staircase 3,Safety,Low,Installed a smoke detector linked to the security alarm system,2024-08-18"
,,,,,,"Car hit the boom gate arm,Main Exit,Security,Medium,Replaced the aluminum arm and recalibrated the motor sensor,2024-08-19"
,,,,,,"Unsecured manhole cover in the driveway,External Road,Safety,High,Reset the heavy-duty iron cover and welded a locking tab,2024-08-20"
,,,,,,"Biometric scanner failing in high humidity,Server Room,Security,Medium,Installed a dedicated dehumidifier near the access control panel,2024-08-21"
,,,,,,"Loud argument between residents in the lobby,Main Lobby,Security,Low,Security intervened to de-escalate and recorded resident details,2024-08-22"
,,,,,,"Elevator emergency phone has a dead line,Block C Lift 1,Safety,High,Tested the phone line at the MDF and replaced the faulty handset,2024-08-23"
,,,,,,"Sharp metal edge on the mailboxes,Block A Lobby,Safety,Low,Filed down the metal burr and applied a protective rubber strip,2024-08-24"
,,,,,,"Drone flying over the private pool area,Poolside,Security,Medium,Traced operator to unit 12-05 and issued a privacy violation notice,2024-08-25"
,,,,,,"Water pooling near the electrical substation,External Area,Safety,Critical,Dug a temporary trench to divert water and cleared the drain,2024-08-26"
,,,,,,"Security camera 08 lens is foggy,Parking P2,Security,Low,Opened the housing; cleaned the lens; and replaced the silica gel,2024-08-27"
,,,,,,"Suspicious vehicle loitering near the exit,Main Gate,Security,Medium,Took down license plate and requested the driver to move along,2024-08-28"
,,,,,,"Fire drill exit lights not illuminating,Block D,Safety,High,Replaced the backup Ni-Cd batteries in the emergency exit signs,2024-08-29"
,,,,,,"Basement P1 lighting is too dim for safety,Parking P1,Safety,Medium,Added four additional LED floodlights in the dark corners,2024-08-30"
,,,,,,"Abandoned bicycle blocking the hallway,Block B Level 4,Safety,Low,Tagged for removal and moved to the designated storage area,2024-09-01"
,,,,,,"Loose carpet in the meeting room causing trips,Level 3 Office,Safety,Medium,Re-stretched the carpet and applied industrial double-sided tape,2024-09-02"
,,,,,,"Missing 'High Voltage' sign on the DB room,Block A Basement,Safety,Low,Ordered and installed a new reflective hazard warning sign,2024-09-03"
,,,,,,"Report of a drone landing on the roof deck,Roof Area,Security,Medium,Recovered drone and checked for unauthorized surveillance footage,2024-09-04"
,,,,,,"Overcrowding in the elevator during peak hours,Main Lobby,Safety,Low,Posted weight limit signs and updated the floor-limit logic,2024-09-05"
,,,,,,"Fallen ceiling board in the corridor,Block C Level 1,Safety,Medium,Replaced the moisture-damaged gypsum board and checked for leaks,2024-09-06"
,,,,,,"Door handle in the ladies room is broken,Level 2 Admin,Safety,Low,Replaced the privacy lockset with a heavy-duty commercial grade,2024-09-07"
,,,,,,"Exposed wiring near the water fountain,Pantry,Safety,Critical,Wrapped wires in conduit and relocated the power socket higher,2024-09-08"
,,,,,,"Unauthorised sales person in the lobby,Main Lobby,Security,Low,Escorted out of the building and added to the blacklist,2024-09-09"
,,,,,,"Slippery moss growth on the north walkway,External Area,Safety,Medium,Power-washed the walkway and applied anti-fungal treatment,2024-09-10"
,,,,,,"Stairwell lights timed out too quickly,Staircase B,Safety,Low,Adjusted the PIR sensor delay from 30 seconds to 2 minutes,2024-09-11"
,,,,,,"AHU-05 making loud screeching noise,North Wing,Mechanical,High,Replaced worn fan belt and lubricated motor bearings,2024-08-13"
,,,,,,"Lift 3 stuck between Level 4 and 5,Block A,Mechanical,Critical,Manually released brake and rescued passengers; replaced door cam,2024-08-13"
,,,,,,"High humidity levels in the Server Room,Data Center,HVAC,High,Cleaned condenser coils and recharged refrigerant in CRAC unit,2024-08-14"
,,,,,,"Circuit breaker trips when gym AC starts,Gymnasium,Electrical,Medium,Upgraded breaker from 32A to 40A to handle inrush current,2024-08-15"
,,,,,,"Chiller water temperature too high,Roof Deck,Mechanical,High,Descaled heat exchanger tubes and cleared cooling tower basin,2024-08-15"
,,,,,,"Basement exhaust fan not spinning,Basement P2,Electrical,Medium,Replaced burnt-out motor capacitor and reset the thermal relay,2024-08-16"
,,,,,,"Generator failed to start during monthly test,Genset Room,Mechanical,Critical,Purged air from fuel line and replaced clogged fuel filter,2024-08-17"
,,,,,,"Corridor lights flickering on Level 10,Block B,Electrical,Low,Tightened neutral wire in the distribution board (DB) box,2024-08-18"
,,,,,,"Pantry water heater leaking,Office Pantry,Plumbing,Medium,Replaced the pressure relief valve and tightened inlet pipe,2024-08-19"
,,,,,,"Smell of burning plastic near DB room,Block C Lobby,Electrical,Critical,Identified melted insulation on busbar; replaced affected cables,2024-08-19"
,,,,,,"Cooling tower vibration sensor alarm,Roof Area,Mechanical,Medium,Balanced the fan blades and replaced the worn rubber mounts,2024-08-20"
,,,,,,"Server Room AC unit leaking water,Data Center,HVAC,High,Cleared the clogged condensate drain line with compressed air,2024-08-21"
,,,,,,"Main switchboard shows a phase imbalance,Electrical Room,Electrical,High,Re-distributed single-phase loads across the three-phase system,2024-08-22"
,,,,,,"Elevator floor leveling is off by 2 inches,Block B Lift 1,Mechanical,Medium,Adjusted the floor selector magnet and recalibrated the drive,2024-08-22"
,,,,,,"Exhaust fan making a clicking noise,Restroom Level 3,Mechanical,Low,Removed a piece of plastic debris stuck in the fan shroud,2024-08-23"
,,,,,,"UPS system reporting low battery voltage,IT Server Room,Electrical,High,Conducted a load test and replaced the failing lead-acid batteries,2024-08-24"
,,,,,,"HVAC ducting rattling in the CEO office,Executive Suite,Mechanical,Low,Tightened the support hangers and applied foam insulation tape,2024-08-25"
,,,,,,"Lobby chandelier has three burnt-out bulbs,Main Lobby,Electrical,Low,Rented a scissor lift and replaced bulbs with 10W LED units,2024-08-26"
,,,,,,"Domestic water pump running continuously,Pump Room,Plumbing,Medium,Replaced the faulty pressure switch and checked for leaks,2024-08-26"
,,,,,,"Variable Frequency Drive (VFD) showing Error F001,HVAC Room,Electrical,High,Re-seated the control board and cleared the fault history,2024-08-27"
,,,,,,"Sewerage ejector pump high level alarm,Basement P3,Plumbing,Critical,Cleared a blockage in the pump impeller and reset the float,2024-08-28"
,,,,,,"Parking gate motor is overheating,Main Entrance,Mechanical,Medium,Replaced the gear oil and cleaned the motor cooling fins,2024-08-29"
,,,,,,"Emergency generator battery charger failed,Genset Room,Electrical,High,Replaced the 24V automatic battery charger unit,2024-08-30"
,,,,,,"Dampness found on the electrical riser wall,Block A Level 7,Structural,Medium,Traced leak to a faulty pipe sleeve and sealed with mastic,2024-08-31"
,,,,,,"Air conditioner remote control unresponsive,Meeting Room 2,Electrical,Low,Replaced the AAA batteries and cleaned the IR sensor lens,2024-09-01"
,,,,,,"Kitchen exhaust hood motor won't turn on,Clubhouse,Electrical,Medium,Replaced the thermal fuse and cleaned the grease-caked motor,2024-09-02"
,,,,,,"Boiler pressure exceeding safety limit,Mechanical Room,Mechanical,Critical,Adjusted the pressure regulator and inspected the safety valve,2024-09-03"
,,,,,,"Office lighting sensor won't turn off,Open Office A,Electrical,Low,Replaced the faulty PIR sensor and adjusted the time delay,2024-09-04"
,,,,,,"Vacuum pump in the lab has lost suction,Level 4 Lab,Mechanical,Medium,Replaced the worn O-rings and checked the vacuum lines,2024-09-05"
,,,,,,"Pantry sink faucet is loose and spinning,Level 2 Pantry,Plumbing,Low,Tightened the mounting nut under the sink and added a washer,2024-09-06"
,,,,,,"Outdoor signage lights not turning on,Building Exterior,Electrical,Medium,Replaced the digital photocell and checked the contactor,2024-09-07"
,,,,,,"Elevator door keeps reopening for no reason,Block D Lift 2,Mechanical,Medium,Cleaned the light curtain sensors and adjusted the door torque,2024-09-08"
,,,,,,"Electric vehicle charger showing Red Light,Parking P1,Electrical,Medium,Reset the internal RCD and updated the charger firmware,2024-09-09"
,,,,,,"Ceiling fan in the guardhouse is wobbling,Main Gate,Mechanical,Low,Balanced the fan blades using a clip-on weights kit,2024-09-10"
,,,,,,"Toilet flush valve won't stop running,Men's Room L1,Plumbing,Low,Replaced the diaphragm and cleaned the bypass orifice,2024-09-11"
,,,,,,"Backup generator fuel level low alarm,Genset Room,Mechanical,Medium,Ordered 500 liters of diesel and checked for fuel leaks,2024-09-12"
,,,,,,"High voltage transformer making a hum,Substation,Electrical,Low,Inspected cooling fans and tightened the enclosure bolts,2024-09-13"
,,,,,,"Vending machine power outlet is dead,Breakroom,Electrical,Low,Reset the tripped 13A breaker in the floor distribution board,2024-09-14"
,,,,,,"HVAC thermostat displaying 'Low Battery',Level 5 Admin,Electrical,Low,Replaced the 24V backup battery in the thermostat unit,2024-09-15"
,,,,,,"Lift car interior lighting is dim,Block B Lift 2,Electrical,Low,Replaced the old fluorescent tubes with new LED strips,2024-09-16"
,,,,,,"Automatic urinal sensor constantly flushing,Men's Room L4,Electrical,Medium,Replaced the solenoid valve and adjusted the sensor range,2024-09-17"
,,,,,,"Gym treadmill motor making a burning smell,Gymnasium,Mechanical,High,Replaced the worn carbon brushes and vacuumed the motor,2024-09-18"
,,,,,,"Conference room projector screen stuck,Meeting Room 1,Mechanical,Medium,Lubricated the roller mechanism and fixed the limit switch,2024-09-19"
,,,,,,"Water fountain water is not cold,Lobby,Mechanical,Medium,Cleaned the condenser coils and checked the compressor gas,2024-09-20"
,,,,,,"Fire pump controller showing 'Phase Reversal',Pump Room,Electrical,High,Corrected the wiring at the main isolator to fix rotation,2024-09-21"
,,,,,,"Washing machine in gym laundry won't drain,Gymnasium,Mechanical,Medium,Cleared a coin blockage from the drain pump filter,2024-09-22"
,,,,,,"Office power sockets on Row C are dead,Open Office B,Electrical,Medium,Identified a loose connection in the under-floor trunking,2024-09-23"
,,,,,,"Air handling unit filter is collapsed,Block C AHU,HVAC,Medium,Replaced the pleated filters and cleaned the frame tracks,2024-09-24"
,,,,,,"Security boom gate arm is bent,Main Entrance,Mechanical,Low,Straightened the aluminum arm and tightened the hinge bolts,2024-09-25"
,,,,,,"Automatic soap dispenser is leaking,Restroom L2,Mechanical,Low,Replaced the cracked reservoir bottle and cleaned the nozzle,2024-09-26"
,,,,,,"API requests returning 401 Unauthorized errors,External Integration,Software,High,Rotated expired API keys and updated the environment secrets,2025-01-10"
,,,,,,"Database deadlock detected on user_sessions table,Backend Server,Software,Medium,Optimized SQL query and added a missing non-clustered index,2025-01-11"
,,,,,,"Cloud storage bucket nearly at 95% capacity,AWS S3,Cloud,Medium,Implemented lifecycle policy to archive files older than 90 days,2025-01-12"
,,,,,,"Webhooks failing for Stripe payments,Payment Gateway,Software,High,Validated SSL certificate and updated the endpoint URL in dashboard,2025-01-13"
,,,,,,"Slow page load for the analytics dashboard,Front End,Software,Medium,Enabled Gzip compression and implemented lazy loading for charts,2025-01-14"
,,,,,,"Docker container keeps restarting - Out of Memory,Production Env,Cloud,High,Increased memory limit in docker-compose.yml to 2GB,2025-01-15"
,,,,,,"CSS styles not loading on Safari browser,User Interface,Software,Low,Added vendor prefixes and cleared the Cloudflare CDN cache,2025-01-16"
,,,,,,"Automated backup failed for the MySQL instance,Cloud Backup,Software,High,Re-authenticated service account and increased disk I/O limit,2025-01-17"
,,,,,,"User reporting missing data in the export CSV,Backend,Software,Medium,Fixed character encoding bug (UTF-8) in the export script,2025-01-18"
,,,,,,"Internal Wiki shows 404 Page Not Found,Company Portal,Software,Low,Restored missing .md files from GitHub main branch,2025-01-19"
,,,,,,"Redis cache eviction rate is too high,Cache Server,Cloud,Medium,Increased maxmemory setting and switched to volatile-lru policy,2025-01-20"
,,,,,,"SSL certificate for dev-subdomain expired,Dev Environment,Security,Medium,Renewed Let's Encrypt certificate and updated Nginx config,2025-01-21"
,,,,,,"Kubernetes pod stuck in ImagePullBackOff,Cluster Node 2,Cloud,High,Corrected the image tag in the deployment manifest and pushed to ECR,2025-01-22"
,,,,,,"Password reset link takes 10 minutes to arrive,Mail Service,Software,Medium,Switched SMTP provider to SendGrid for higher deliverability,2025-01-23"
,,,,,,"Broken image links on the landing page,Public Site,Software,Low,Ran a script to update all hardcoded URLs to relative paths,2025-01-24"
,,,,,,"NPM build failing due to dependency conflict,CI/CD Pipeline,Software,Medium,Deleted package-lock.json and ran clean install with legacy-peer-deps,2025-01-25"
,,,,,,"Jenkins pipeline stuck on 'Waiting for Executor',Build Server,Cloud,Low,Increased the number of concurrent executors in Jenkins global config,2025-01-26"
,,,,,,"PostgreSQL logs show 'Too many connections',DB Instance,Software,High,Implemented pgbouncer for connection pooling and increased max_connections,2025-01-27"
,,,,,,"Search results not reflecting new database entries,Elasticsearch,Software,Medium,Triggered a manual re-index of the products collection,2025-01-28"
,,,,,,"Grafana alert: CPU usage at 99%,Worker Node,Cloud,Critical,Identified a runaway Python process and killed the PID manually,2025-01-29"
,,,,,,"Mobile app crashing on Android 14 launch,Mobile App,Software,High,Updated SDK target version and patched the null-pointer exception,2025-01-30"
,,,,,,"Git merge conflict in the main branch,Repository,Software,Low,Resolved conflicts manually and re-verified via unit tests,2025-01-31"
,,,,,,"Unable to delete files from the FTP server,Legacy System,IT Support,Medium,Adjusted folder permissions to 755 and restarted the vsftpd service,2025-02-01"
,,,,,,"Slack bot not responding to commands,Internal Tools,Software,Low,Re-authorized the Slack App token and restarted the bot server,2025-02-02"
,,,,,,"DNS propagation delay for new domain,Networking,IT Support,Low,Advised user to flush local DNS and set TTL to 3600,2025-02-03"
,,,,,,"Inconsistent data between staging and prod,Environment Sync,Software,Medium,Performed a data dump from prod to staging excluding sensitive PII,2025-02-04"
,,,,,,"JSON payload being rejected by the API,API Gateway,Software,Low,Corrected the 'Content-Type' header to application/json,2025-02-05"
,,,,,,"Terraform plan failing with state lock error,Infrastructure,Cloud,Medium,Force-unlocked the state in DynamoDB after verifying no active runs,2025-02-06"
,,,,,,"Python script failing with ModuleNotFoundError,Automation,Software,Low,Added a requirements.txt file and updated the virtualenv,2025-02-07"
,,,,,,"Missing fonts on the PDF generator service,Microservice,Software,Medium,Installed 'ttf-mscorefonts-installer' in the Docker container,2025-02-08"
,,,,,,"Unused cloud instances incurring costs,Cloud Billing,Cloud,Low,Terminated 5 t2.micro instances that had 0% CPU for 30 days,2025-02-09"
,,,,,,"React component rendering twice on mount,Front End,Software,Low,Removed the extra <React.StrictMode> tag in index.js,2025-02-10"
,,,,,,"Bitbucket pipeline failing at 'SonarCloud' step,CI/CD,Software,Medium,Updated the SONAR_TOKEN secret in the repository settings,2025-02-11"
,,,,,,"High number of 500 errors on the login page,Auth Service,Software,Critical,Reconnected the lost socket between auth-service and DB-cluster,2025-02-12"
,,,,,,"Broken links in the automated welcome email,Marketing Ops,Software,Low,Updated the Jinja2 template with the correct production URL,2025-02-13"
,,,,,,"MongoDB shard balancing taking too long,DB Cluster,Cloud,High,Increased the shard range and moved the balancer window to off-peak,2025-02-14"
,,,,,,"Public Wi-Fi portal not redirecting to login,Office Area,Network,Medium,Reconfigured the captive portal settings on the Meraki dashboard,2025-02-15"
,,,,,,"Kafka consumer group is lagging behind,Event Bus,Software,High,Increased the number of partitions and added more consumer instances,2025-02-16"
,,,,,,"Duplicate notifications being sent to users,Notification Engine,Software,Medium,Implemented a de-duplication logic based on message UUIDs,2025-02-17"
,,,,,,"Internal tool 'DataView' not loading charts,Office IT,Software,Low,Updated the d3.js library version and fixed the SVG viewport bug,2025-02-18"
,,,,,,"Company VPN not compatible with M3 MacBooks,IT Support,Software,Medium,Upgraded the VPN client to the ARM64 compatible version,2025-02-19"
,,,,,,"CloudFront returning 403 Forbidden for images,Cloud,Software,Medium,Updated the OAI (Origin Access Identity) permissions on the S3 bucket,2025-02-20"
,,,,,,"System time out of sync on production servers,Linux Nodes,Cloud,Low,Installed and configured chrony for NTP time synchronization,2025-02-21"
,,,,,,"Legacy Java app won't start on Java 21,Back End,Software,Medium,Downgraded the runtime environment to OpenJDK 11 for compatibility,2025-02-22"
,,,,,,"Memory leak in the background worker process,Software,Medium,Implemented manual garbage collection and closed unhandled DB connections,2025-02-23"
,,,,,,"CSV upload failing for files with commas in cells,Front End,Software,Low,Updated the parser to use the PapaParse library for better CSV handling,2025-02-24"
,,,,,,"Broken pipe error during large file transfer,Networking,IT Support,Medium,Increased the timeout settings in the SSH config file,2025-02-25"
,,,,,,"Firebase auth token expiring too quickly,Mobile App,Software,Low,Adjusted the token expiration settings in the Firebase console,2025-02-26"
,,,,,,"Database migration script failed halfway,Back End,Software,High,Performed a manual rollback and fixed the syntax error in migration 042,2025-02-27"
